vg,Jg,ve,Je,Measured Fitted Freq. (THz),AlCl,Type
0, 0, 0, 1, 1146.345442, 35, R
0, 0, 0, 1, 1146.351291, 37, R
0, 1, 0, 2, 1146.360112, 35, R
0, 1, 0, 2, 1146.365530, 37, R
0, 2, 0, 3, 1146.374885, 35, R
0, 2, 0, 3, 1146.379917, 37, R
0, 3, 0, 4, 1146.389638, 35, R
0, 3, 0, 4, 1146.394397, 37, R
0, 4, 0, 5, 1146.404500, 35, R
0, 4, 0, 5, 1146.408876, 37, R
0, 5, 0, 6, 1146.419385, 35, R
0, 5, 0, 6, 1146.423493, 37, R
0, 6, 0, 7, 1146.434358, 35, R
0, 2, 0, 1, 1146.308535, 37, P
0, 2, 0, 1, 1146.301657, 35, P
0, 3, 0, 2, 1146.294420, 37, P
0, 3, 0, 2, 1146.287210, 35, P
0, 4, 0, 3, 1146.280370, 37, P
0, 4, 0, 3, 1146.272811, 35, P
0, 5, 0, 4, 1146.266304, 37, P
0, 5, 0, 4, 1146.258464, 35, P
0, 6, 0, 5, 1146.252339, 37, P
0, 6, 0, 5, 1146.244153, 35, P
0, 7, 0, 6, 1146.238242, 37, P
0, 7, 0, 6, 1146.229938, 35, P
0, 8, 0, 7, 1146.224456, 37, P
0, 8, 0, 7, 1146.215715, 35, P
0, 1, 0, 1, 1146.331043, 35, Q
0, 1, 0, 1, 1146.337171, 37, Q
